"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"795636119157149696","","","2016-11-07 14:36:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Visited 579 yr old Wat Pha Kao. Eerily realistic wax replicas of deceased monks, changing colored lights, and a very welcoming young monk. https://t.co/L0tEWO1bxH","","","","https://twitter.com/keithrbennett/status/795636119157149696/photo/1"
"795244189491425280","","","2016-11-06 12:39:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NAACP: If someone tries to stop you from voting, take their picture and call 1-866-OUR-VOTE. Lawyers will be ready. https://t.co/IsA6nG…","794285580444192777","44988185","2016-11-03 21:10:14 +0000","http://politi.co/2f8n5jS"
"795178691064000512","","","2016-11-06 08:19:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This is awesome...cowboy lassos bike thief in Walmart parking lot: https://t.co/MQvECMiWIW","","","","https://www.youtube.com/watch?v=dsq_jZiB1_U"
"795098666948239361","","","2016-11-06 03:01:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My fellow Americans: Please VOTE, even if your state is decided.  The entire world is counting on you to defend decency, sanity, and reason.","","","",""
"794893086732128256","794481310068654080","14401983","2016-11-05 13:24:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","And here's a panoramic view Google Photos created for me without my asking (Thank you @google!). https://t.co/xECgjMEDrv","","","","https://twitter.com/keithrbennett/status/794893086732128256/photo/1"
"794560416194015232","","","2016-11-04 15:22:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sold my @RubyConf registration to @isletatech. Thanks everyone for all the retweets! cc: @jacquelynma","","","",""
"794481310068654080","","","2016-11-04 10:07:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rode my motorbike over winding roads to the top of Doi (Mount) Suthep today. This is the view of Chiang Mai. https://t.co/eIntAM67KR","","","","https://twitter.com/keithrbennett/status/794481310068654080/photo/1"
"794323938612346880","794293559289446400","93277175","2016-11-03 23:42:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@jacquelynma Yes.  Please DM me your email address, ok?","","","",""
"794121812938346496","","","2016-11-03 10:19:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Want to go to @RubyConf for less? I'm looking to sell my registration and will accept $200, half of what I paid, for it.  Anyone interested?","","","",""
"793683316679389184","","","2016-11-02 05:17:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","For good news to counteract the massive bad news in the media: @washingtonpost Optimist: https://t.co/fEoICCobTC. Good for the soul.","","","","https://www.washingtonpost.com/the-optimist/"
"793678284051521536","","","2016-11-02 04:57:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tim Tebow on transcending personal inertia and living your dream (quoted at end of article): https://t.co/pxTympbPZc","","","","https://www.washingtonpost.com/news/early-lead/wp/2016/10/26/tim-tebows-response-to-critics-of-his-baseball-dream-will-make-you-want-to-quit-your-job/?wpisrc=nl_optimist&wpmm=1"
"792629038170853376","","","2016-10-30 07:27:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @jeffpearlman: My daughter is Jewish. Her best pal is Muslim. For Halloween they created a superhero team: The Juslims. I've rarely been…","792553544045858816","15445129","2016-10-30 02:27:44 +0000","https://twitter.com/jeffpearlman/status/792553544045858816/photo/1"
"792349251867074560","792342198465560576","14197941","2016-10-29 12:55:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@spune @headius @bentanweihao I hope they're good guys.  I'd hate to think that @headius was a bad guy. JRuby superhero by day... ;)","","","",""
"792341287374512128","792204805313744896","9989362","2016-10-29 12:24:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@headius Forgive my ignorance, I'm not very cultured -- who are those guys? :)","","","",""
"792245136168103936","","","2016-10-29 06:02:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dog Food Diet (humor, I got a good laugh from this one): https://t.co/SCpzZG6DFO","","","","http://imgur.com/gallery/ySYQO"
"792206807041126400","","","2016-10-29 03:29:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","60-70 db thunderstorm last night. Lightning knocked out hotel's power line. On generator but no elevator svc. Lucky for me I'm on 3rd floor.","","","",""
"791984878111694848","","","2016-10-28 12:48:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thailand is 1 of the safest places in SE Asia to eat fresh fruits &amp; vegetables. These greens seem like they were picked today. https://t.co/x0B4zjhXnV","","","","https://twitter.com/keithrbennett/status/791984878111694848/photo/1"
"791276976224907270","","","2016-10-26 13:55:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If you're going to #rubyconf, and wanted the conference hotel rate but couldn't get it, try again. I just cancelled my reservation.","","","",""
"791273611772375041","","","2016-10-26 13:41:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Got my 30-day Thai tourist visa extension today and plan to stay in Chiang Mai.  Anyone want to buy my #RubyConf ticket from me?","","","",""
"791153281108156416","791119047567945728","30960808","2016-10-26 05:43:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@TalesofMatteh Chicken blood!  To be honest, I only had a little bit of that. Is it better or worse for health than chicken meat?","","","",""
"791110497097560064","791034584733458432","13020032","2016-10-26 02:53:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@atonse I would love that! I may be spending serious amounts of time here in the future.","","","",""
